local_law_id,name,address,type_of_law_enforcement
1009093,TANEYTOWN POLICE DEPARTMENT,120 EAST BALTIMORE STREET,LOCAL POLICE DEPARTMENT
1005206,AVON POLICE DEPARTMENT,105 WEST CLINTON STREET,LOCAL POLICE DEPARTMENT
1005959,PLEASANT PLAINS POLICE DEPARTMENT,200 WEST 4TH STREET,LOCAL POLICE DEPARTMENT
1005292,SOUTHERN ILLINOIS UNIVERSITY CARBONDALE POLICE DEPARTMENT,"705 SOUTH WASHINGTON STREET, WASHINGTON SQUARE BUILDING A",SPECIAL JURISDICTION
1007311,SPRING HILL POLICE DEPARTMENT,418 E NICHOLS ST,LOCAL POLICE DEPARTMENT
1005740,MCDONOUGH COUNTY SHERIFF / MCDONOUGH COUNTY JAIL,110 SOUTH MCARTHUR STREET,SHERIFF'S OFFICE
1005788,MASSAC COUNTY SHERIFFS OFFICE / MASSAC COUNTY JAIL,515 MARKET STREET,SHERIFF'S OFFICE
1007771,PINEVILLE POLICE DEPARTMENT,300 VIRGINIA AVENUE,LOCAL POLICE DEPARTMENT
1005459,EAST GALESBURG POLICE DEPARTMENT,100 EAST 1ST STREET,LOCAL POLICE DEPARTMENT
1005527,FOX RIVER GROVE POLICE DEPARTMENT,305 ILLINOIS STREET,LOCAL POLICE DEPARTMENT
1005593,HAMPSHIRE POLICE DEPARTMENT,200 INDUSTRIAL DRIVE,LOCAL POLICE DEPARTMENT
1005213,BARTONVILLE POLICE DEPARTMENT,5918 SOUTH ADAMS STREET,LOCAL POLICE DEPARTMENT
1002995,DELAWARE DEPARTMENT OF NATURAL RESOURCES AND ENVIRONMENTAL CONTROL - HEADQUARTERS,"89 KINGS HIGHWAY, RICHARDSON AND ROBBINS BUILDING",SPECIAL JURISDICTION
1006379,MONTGOMERY COUNTY SHERIFF / MONTGOMERY COUNTY JAIL,600 MEMORIAL DRIVE,SHERIFF'S OFFICE
1009752,MUNISING POLICE DEPARTMENT,100 WEST MUNISING AVENUE,LOCAL POLICE DEPARTMENT
1009062,MONTGOMERY COUNTY DEPARTMENT OF POLICE - HEADQUARTERS,2350 RESEARCH BOULEVARD,LOCAL POLICE DEPARTMENT
1009157,EASTPORT DEPARTMENT OF PUBLIC SAFETY,28 WATER STREET,LOCAL POLICE DEPARTMENT
1006191,MONROE COUNTY SHERIFFS OFFICE,225 EAST THIRD STREET,SHERIFF'S OFFICE
1009958,OGEMAW COUNTY SHERIFFS OFFICE / OGEMAW COUNTY JAIL,806 WEST WRIGHT STREET,SHERIFF'S OFFICE
1006921,AUGUSTA DEPARTMENT OF SAFETY,2100 NORTH OHIO STREET,LOCAL POLICE DEPARTMENT
1007539,FRANKLIN POLICE DEPARTMENT,100 SOUTH COURT STREET,LOCAL POLICE DEPARTMENT
1007731,CAMPBELL COUNTY SHERIFFS DEPARTMENT,330 YORK STREET,SHERIFF'S OFFICE
1005024,BONNERS FERRY POLICE DEPARTMENT,7232 MAIN STREET,LOCAL POLICE DEPARTMENT
1007025,WILSON COUNTY SHERIFFS OFFICE / WILSON COUNTY JAIL,925 PIERCE STREET,SHERIFF'S OFFICE
1007720,MOUNT WASHINGTON POLICE DEPARTMENT,180 LANDIS LANE,LOCAL POLICE DEPARTMENT
1006698,OAKLAND CITY POLICE DEPARTMENT,210 EAST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1006099,SOUTHERN VIEW POLICE DEPARTMENT,3412 SOUTH 5TH STREET,LOCAL POLICE DEPARTMENT
1006712,PALMYRA MARSHAL,765 MAIN STREET,CONSTABLE/MARSHAL
1007174,MARSHALL COUNTY SHERIFFS DEPARTMENT,107 SOUTH 13TH STREET,SHERIFF'S OFFICE
1006068,SILVIS POLICE DEPARTMENT,1040 1ST AVENUE,LOCAL POLICE DEPARTMENT
1006016,ROMEOVILLE POLICE DEPARTMENT,10 MONTROSE DRIVE,LOCAL POLICE DEPARTMENT
1006063,SHILOH POLICE DEPARTMENT,1 PARK DRIVE,LOCAL POLICE DEPARTMENT
1005659,JOLIET POLICE DEPARTMENT,150 WEST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1006982,CLOUD COUNTY SHERIFFS DEPARTMENT / CLOUD COUNTY JAIL,2090 FT. KEARNEY ST.,SHERIFF'S OFFICE
1006973,THOMAS COUNTY SHERIFFS OFFICE / THOMAS COUNTY JAIL,225 NORTH COURT AVENUE,SHERIFF'S OFFICE
1007197,LINN COUNTY SHERIFFS DEPARTMENT / LINN COUNTY JAIL,107 SOUTH 4TH STREET,SHERIFF'S OFFICE
1007167,JEWELL COUNTY SHERIFFS DEPARTMENT / JEWELL COUNTY JAIL,307 NORTH COMMERCIAL STREET,SHERIFF'S OFFICE
1007229,OSBORNE COUNTY SHERIFFS DEPARTMENT / OSBORNE COUNTY JAIL,104 SOUTH 5TH STREET,SHERIFF'S OFFICE
1007348,DONIPHAN COUNTY SHERIFFS DEPARTMENT / DONIPHAN COUNTY JAIL,105 SOUTH LIBERTY STREET,SHERIFF'S OFFICE
1005062,HAYDEN LAKE POLICE DEPARTMENT,9393 NORTH STRAHORN ROAD,LOCAL POLICE DEPARTMENT
1009534,GRAND BLANC CITY POLICE DEPARTMENT,203 EAST GRAND BLANC ROAD,LOCAL POLICE DEPARTMENT
1009324,BEAVERTON POLICE DEPARTMENT,130 SAGINAW STREET,LOCAL POLICE DEPARTMENT
1009423,IRON COUNTY SHERIFFS OFFICE / IRON COUNTY CORRECTIONAL FACILITY,"2 SOUTH 6TH STREET, SUITE 18",SHERIFF'S OFFICE
1009802,PAW PAW POLICE DEPARTMENT,114 HARRY L BUSH BOULEVARD,LOCAL POLICE DEPARTMENT
1009959,WEST BRANCH POLICE DEPARTMENT,113 NORTH FIRST STREET,LOCAL POLICE DEPARTMENT
1009602,IONIA COUNTY SHERIFFS OFFICE / IONIA COUNTY JAIL,133 EAST ADAMS STREET,SHERIFF'S OFFICE
1009702,MARION POLICE DEPARTMENT,120 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1009490,FENTON POLICE DEPARTMENT,311 SOUTH LEROY STREET,LOCAL POLICE DEPARTMENT
1009805,PENTWATER POLICE DEPARTMENT,326 SOUTH HANCOCK STREET,LOCAL POLICE DEPARTMENT
1009286,ALLEGAN COUNTY SHERIFFS OFFICE / ALLEGAN COUNTY JAIL,112 WALNUT STREET,SHERIFF'S OFFICE
1006898,DICKINSON COUNTY SHERIFFS DEPARTMENT / DICKINSON COUNTY JAIL,109 EAST 1ST STREET,SHERIFF'S OFFICE
1009605,DICKINSON COUNTY SHERIFFS OFFICE / DICKINSON COUNTY CORRECTIONAL CENTER,300 EAST D STREET,SHERIFF'S OFFICE
1006160,UNIVERSITY PARK POLICE DEPARTMENT,698 BURNHAM DRIVE,LOCAL POLICE DEPARTMENT
1007040,CRAWFORD COUNTY SHERIFFS OFFICE / CRAWFORD COUNTY JAIL,225 NORTH ENTERPRISE DRIVE,SHERIFF'S OFFICE
1009111,CARROLL COUNTY SHERIFFS OFFICE / CARROLL COUNTY DETENTION CENTER,100 NORTH COURT STREET,SHERIFF'S OFFICE
1009076,WICOMICO COUNTY SHERIFFS DEPARTMENT,401 NAYLOR MILL ROAD,SHERIFF'S OFFICE
1008939,CAROLINE COUNTY SHERIFFS DEPARTMENT / CAROLINE COUNTY DETENTION CENTER,101 GAY STREET,SHERIFF'S OFFICE
1009432,DECATUR POLICE DEPARTMENT,114 NORTH PHELPS STREET,LOCAL POLICE DEPARTMENT
1005849,NASHVILLE POLICE DEPARTMENT,875 SOUTH MILL STREET,LOCAL POLICE DEPARTMENT
1009685,MASON COUNTY SHERIFFS OFFICE / MASON COUNTY JAIL,"302 NORTH DELIA STREET, 306 NORTH DELIA STREET",SHERIFF'S OFFICE
1007609,BREATHITT COUNTY SHERIFFS DEPARTMENT,1137 MAIN STREET,SHERIFF'S OFFICE
1009905,ARENAC COUNTY SHERIFFS OFFICE / ARENAC COUNTY JAIL,126 NORTH GROVE STREET,SHERIFF'S OFFICE
1009291,ALPENA COUNTY SHERIFFS DEPARTMENT / ALPENA COUNTY JAIL,320 JOHNSON STREET,SHERIFF'S OFFICE
1007047,SHERMAN COUNTY SHERIFFS OFFICE / SHERMAN COUNTY JAIL,813 1/2 BROADWAY AVENUE,SHERIFF'S OFFICE
1007278,RUSSELL COUNTY SHERIFFS DEPARTMENT / RUSSELL COUNTY JAIL,210 EAST 4TH STREET,SHERIFF'S OFFICE
1007748,BATH COUNTY SHERIFFS OFFICE,17 WEST MAIN STREET,SHERIFF'S OFFICE
1008899,BERWYN HEIGHTS POLICE DEPARTMENT,5411 BERWYN ROAD,LOCAL POLICE DEPARTMENT
1009327,BELLAIRE POLICE DEPARTMENT,202 NORTH BRIDGE STREET,LOCAL POLICE DEPARTMENT
1007027,GALENA POLICE DEPARTMENT,210 TURNER DRIVE,LOCAL POLICE DEPARTMENT
1009644,MISSAUKEE COUNTY SHERIFFS OFFICE / MISSAUKEE COUNTY JAIL,110 SOUTH PINE STREET,SHERIFF'S OFFICE
1009046,PORT DEPOSIT POLICE DEPARTMENT,64 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1008914,CENTREVILLE POLICE DEPARTMENT,420 NORTH COMMERCE STREET,LOCAL POLICE DEPARTMENT
1009239,SACO POLICE DEPARTMENT,20 STORER STREET,LOCAL POLICE DEPARTMENT
1007019,FLORENCE POLICE DEPARTMENT,511 MAIN STREET,LOCAL POLICE DEPARTMENT
1009741,MORRICE POLICE DEPARTMENT,401 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1008910,CAPITOL HEIGHTS POLICE DEPARTMENT,401 CAPITOL HEIGHTS BOULEVARD,LOCAL POLICE DEPARTMENT
1007107,WYANDOTTE COUNTY PARKS UNIFIED GOVERNMENT OF WYANDOTTE COUNTY - KANSAS CITY PARK RANGERS,3488 WEST DRIVE,SPECIAL JURISDICTION
1009210,MOUNT DESERT POLICE DEPARTMENT,21 SEA STREET,LOCAL POLICE DEPARTMENT
1009004,LANDOVER HILLS POLICE DEPARTMENT,6904 TAYLOR STREET,LOCAL POLICE DEPARTMENT
1008901,BLADENSBURG POLICE DEPARTMENT,4910 TILDEN ROAD,LOCAL POLICE DEPARTMENT
1009094,THURMONT POLICE DEPARTMENT,10 FREDERICK ROAD,LOCAL POLICE DEPARTMENT
1007193,MISSION POLICE DEPARTMENT,6090 WOODSON ROAD,LOCAL POLICE DEPARTMENT
1009845,ROGERS CITY POLICE DEPARTMENT,193 EAST MICHIGAN AVENUE,LOCAL POLICE DEPARTMENT
1002979,UNIVERSITY OF THE DISTRICT OF COLUMBIA SECURITY,4200 CONNECTICUT AVENUE NORTHWEST,SPECIAL JURISDICTION
1006060,SHERIDAN POLICE DEPARTMENT,115 NORTH ROBINSON STREET,LOCAL POLICE DEPARTMENT
1009458,SAUGATUCK-DOUGLAS POLICE DEPARTMENT,47 WEST CENTER STREET,LOCAL POLICE DEPARTMENT
1009914,STURGIS POLICE DEPARTMENT,122 NORTH NOTTAWA STREET,LOCAL POLICE DEPARTMENT
1005012,BLACKFOOT POLICE DEPARTMENT,"501 NORTH MAPLE STREET, BOX 410",LOCAL POLICE DEPARTMENT
1005135,LEMHI COUNTY SHERIFFS OFFICE / LEMHI COUNTY JAIL / LEMHI COUNTY JUVENILE DETENTION CENTER,206 COURTHOUSE DRIVE,SHERIFF'S OFFICE
1005096,MOSCOW POLICE DEPARTMENT,118 EAST 4TH STREET,LOCAL POLICE DEPARTMENT
1006786,SHELBY COUNTY SHERIFFS DEPARTMENT / SHELBY COUNTY JAIL,107 WEST TAYLOR STREET,SHERIFF'S OFFICE
1007496,DAWSON SPRINGS POLICE DEPARTMENT,200 WEST ARCADIA AVENUE,LOCAL POLICE DEPARTMENT
1006825,THORNTOWN POLICE DEPARTMENT,101 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005338,CHESTER POLICE DEPARTMENT,1330 SWANWICK STREET,LOCAL POLICE DEPARTMENT
1006853,WALTON POLICE DEPARTMENT,100 SOUTH DEPOT STREET,LOCAL POLICE DEPARTMENT
1006497,HARTFORD CITY POLICE DEPARTMENT,700 NORTH WALNUT STREET,LOCAL POLICE DEPARTMENT
1008938,DELMAR POLICE DEPARTMENT,400 SOUTH PENNSYLVANIA AVENUE,LOCAL POLICE DEPARTMENT
1006596,LEBANON POLICE DEPARTMENT,201 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1009794,OTISVILLE POLICE DEPARTMENT,300 EAST STREET,LOCAL POLICE DEPARTMENT
1002991,DELAWARE CITY POLICE DEPARTMENT,407 CLINTON STREET,LOCAL POLICE DEPARTMENT
1003002,ELLENDALE POLICE DEPARTMENT,300 MCCAULLEY AVENUE,LOCAL POLICE DEPARTMENT
1009543,KENTWOOD POLICE DEPARTMENT,4742 WALMA AVENUE SOUTHEAST,LOCAL POLICE DEPARTMENT
1005960,POCAHONTAS POLICE DEPARTMENT,101 KAVANAUGH STREET,LOCAL POLICE DEPARTMENT
1009678,CITY OF LINDEN POLICE DEPARTMENT,132 EAST BROAD STREET,LOCAL POLICE DEPARTMENT
1005113,PLUMMER POLICE DEPARTMENT,880 C STREET,LOCAL POLICE DEPARTMENT
1007741,NORTONVILLE POLICE DEPARTMENT,199 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1006291,BERNE POLICE DEPARTMENT,1160 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1007687,MADISONVILLE POLICE DEPARTMENT,99 EAST CENTER STREET,LOCAL POLICE DEPARTMENT
1005941,PERCY POLICE DEPARTMENT,201 EAST PINE STREET,LOCAL POLICE DEPARTMENT
1006399,DELPHI POLICE DEPARTMENT,201 SOUTH UNION STREET,LOCAL POLICE DEPARTMENT
1009763,NEW BALTIMORE POLICE DEPARTMENT,50910 WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1009775,NORTH BRANCH POLICE DEPARTMENT,4018 HURON STREET,LOCAL POLICE DEPARTMENT
1009687,MACKINAC ISLAND POLICE DEPARTMENT,7374 MARKET STREET,LOCAL POLICE DEPARTMENT
1009888,SCOTTVILLE POLICE DEPARTMENT,105 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1009919,SWARTZ CREEK POLICE DEPARTMENT,8100 CIVIC DRIVE,LOCAL POLICE DEPARTMENT
1009515,FREMONT POLICE DEPARTMENT,101 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1007126,LANSING POLICE DEPARTMENT,800 1ST TERRACE,LOCAL POLICE DEPARTMENT
1009686,CITY OF LUNA PIER POLICE DEPARTMENT,4357 BUCKEYE STREET,LOCAL POLICE DEPARTMENT
1009492,FERNDALE POLICE DEPARTMENT,310 EAST 9 MILE ROAD,LOCAL POLICE DEPARTMENT
1006620,MARKLEVILLE POLICE DEPARTMENT,24 SOUTH STATE STREET,LOCAL POLICE DEPARTMENT
1007614,JENKINS POLICE DEPARTMENT,835 LAKESIDE DRIVE,LOCAL POLICE DEPARTMENT
1008894,HARFORD COUNTY SHERIFFS OFFICE,45 SOUTH MAIN STREET,SHERIFF'S OFFICE
1005026,BUHL POLICE DEPARTMENT,201 BROADWAY AVENUE NORTH,LOCAL POLICE DEPARTMENT
1006851,WAKARUSA POLICE DEPARTMENT,102 SOUTH SPRING STREET,LOCAL POLICE DEPARTMENT
1006463,GASTON POLICE DEPARTMENT,107 NORTH SYCAMORE STREET,LOCAL POLICE DEPARTMENT
1005218,BEARDSTOWN POLICE DEPARTMENT,418 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1006175,VIENNA POLICE DEPARTMENT,205 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1006208,WEST SALEM POLICE DEPARTMENT,106 EAST SOUTH STREET,LOCAL POLICE DEPARTMENT
1005776,HAMILTON COUNTY SHERIFF,100 SOUTH JACKSON STREET,SHERIFF'S OFFICE
1005777,MCLEANSBORO POLICE DEPARTMENT,102 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005765,MASON CITY POLICE DEPARTMENT,142 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1005989,RIDGWAY POLICE DEPARTMENT,110 NORTH CRAWFORD STREET,LOCAL POLICE DEPARTMENT
1005836,MOUNT VERNON POLICE DEPARTMENT,211 NORTH 10TH STREET,LOCAL POLICE DEPARTMENT
1005582,GRAYVILLE POLICE DEPARTMENT,101 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1005766,MATTESON POLICE DEPARTMENT,20500 SOUTH CICERO AVENUE,LOCAL POLICE DEPARTMENT
1005308,CRAINVILLE POLICE DEPARTMENT,1205 MAIN STREET,LOCAL POLICE DEPARTMENT
1005921,PARK RIDGE POLICE DEPARTMENT,200 SOUTH VINE AVENUE,LOCAL POLICE DEPARTMENT
1006004,ROCHESTER POLICE DEPARTMENT,1 COMMUNITY DRIVE,LOCAL POLICE DEPARTMENT
1006049,SCHILLER PARK POLICE DEPARTMENT,9526 WEST IRVING PARK ROAD,LOCAL POLICE DEPARTMENT
1006167,VALMEYER POLICE DEPARTMENT,626 SOUTH MEYER AVENUE,LOCAL POLICE DEPARTMENT
1006101,SPRINGFIELD POLICE DEPARTMENT,"800 EAST MONROE STREET, ROOM 345",LOCAL POLICE DEPARTMENT
1006108,STEGER POLICE DEPARTMENT,35 WEST 34TH STREET,LOCAL POLICE DEPARTMENT
1005755,MARISSA POLICE DEPARTMENT,212 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1005929,PEKIN POLICE DEPARTMENT,111 SOUTH CAPITOL STREET,LOCAL POLICE DEPARTMENT
1005625,HILLSIDE POLICE DEPARTMENT,425 NORTH HILLSIDE AVENUE,LOCAL POLICE DEPARTMENT
1005900,OREGON POLICE DEPARTMENT,115 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT
1005545,GENESEO POLICE DEPARTMENT,119 SOUTH OAKWOOD AVENUE,LOCAL POLICE DEPARTMENT
1006141,TILTON POLICE DEPARTMENT,1001 TILTON ROAD,LOCAL POLICE DEPARTMENT
1005725,LOCKPORT POLICE DEPARTMENT,1212 SOUTH FARRELL ROAD,LOCAL POLICE DEPARTMENT
1005956,PLAINFIELD POLICE DEPARTMENT,14300 SOUTH COIL PLUS DRIVE,LOCAL POLICE DEPARTMENT
1005299,CARMI POLICE DEPARTMENT,108 NORTH MAIN CROSS STREET,LOCAL POLICE DEPARTMENT
1005276,BUSHNELL POLICE DEPARTMENT,138 EAST HAIL STREET,LOCAL POLICE DEPARTMENT
1005325,CHAMPAIGN POLICE DEPARTMENT,82 EAST UNIVERSITY AVENUE,LOCAL POLICE DEPARTMENT
1005304,CARRIER MILLS POLICE DEPARTMENT,102 MILL STREET,LOCAL POLICE DEPARTMENT
1005797,MINOOKA POLICE DEPARTMENT,121 EAST MCEVILLY ROAD,LOCAL POLICE DEPARTMENT
1006236,WOOD DALE POLICE DEPARTMENT,404 NORTH WOOD DALE ROAD,LOCAL POLICE DEPARTMENT
1009989,AITKIN POLICE DEPARTMENT,109 1ST AVENUE NORTHWEST,LOCAL POLICE DEPARTMENT
1009522,GARDEN CITY POLICE DEPARTMENT,6000 MIDDLEBELT ROAD,LOCAL POLICE DEPARTMENT
1006198,WAUKEGAN POLICE DEPARTMENT,420 ROBERT V SABONJIAN PLACE,LOCAL POLICE DEPARTMENT
1006296,BLOOMFIELD POLICE DEPARTMENT,12 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1005998,RIVERWOODS POLICE DEPARTMENT,300 PORTWINE ROAD,LOCAL POLICE DEPARTMENT
1005687,LAKE BLUFF POLICE DEPARTMENT,45 EAST CENTER AVENUE,LOCAL POLICE DEPARTMENT
1006048,SCHAUMBURG POLICE DEPARTMENT,1000 WEST SCHAUMBURG ROAD,LOCAL POLICE DEPARTMENT
1006392,DANVILLE POLICE DEPARTMENT,147 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005429,DEKALB POLICE DEPARTMENT,200 SOUTH 4TH STREET,LOCAL POLICE DEPARTMENT
1006350,CICERO POLICE DEPARTMENT,70 SOUTH BYRON STREET,LOCAL POLICE DEPARTMENT
1005449,DU QUOIN POLICE DEPARTMENT,304 EAST POPLAR STREET,LOCAL POLICE DEPARTMENT
1005531,FRANKLIN PARK POLICE DEPARTMENT,9451 WEST BELMONT AVENUE,LOCAL POLICE DEPARTMENT
1006128,SYCAMORE POLICE DEPARTMENT,535 DEKALB AVENUE,LOCAL POLICE DEPARTMENT
1005915,PALOS PARK POLICE DEPARTMENT,8999 WEST 123RD STREET,LOCAL POLICE DEPARTMENT
1005920,PARK FOREST POLICE DEPARTMENT,200 LAKEWOOD BOULEVARD,LOCAL POLICE DEPARTMENT
1006073,SOMONAUK POLICE DEPARTMENT,140 WEST DEKALB STREET,LOCAL POLICE DEPARTMENT
1005818,MORTON POLICE DEPARTMENT,375 WEST BIRCHWOOD STREET,LOCAL POLICE DEPARTMENT
1006756,ROCHESTER POLICE DEPARTMENT,312 MAIN STREET,LOCAL POLICE DEPARTMENT
1006080,SOUTH PEKIN POLICE DEPARTMENT,208 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1009961,WESTLAND POLICE DEPARTMENT,36701 FORD ROAD,LOCAL POLICE DEPARTMENT
1006717,PATOKA POLICE DEPARTMENT,105 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1005196,ATKINSON POLICE DEPARTMENT,107 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1005597,CALHOUN COUNTY SHERIFFS DEPARTMENT / CALHOUN COUNTY JAIL,635 NORTH COUNTY ROAD,SHERIFF'S OFFICE
1009779,NORTHVILLE TOWNSHIP POLICE DEPARTMENT,41600 6 MILE ROAD,LOCAL POLICE DEPARTMENT
1009601,INKSTER POLICE DEPARTMENT,27301 SOUTH RIVER PARK DRIVE,LOCAL POLICE DEPARTMENT
1006374,HARRISON COUNTY SHERIFFS DEPARTMENT / HARRISON COUNTY JAIL,1445 GARDNER LANE,SHERIFF'S OFFICE
1007356,VALLEY FALLS POLICE DEPARTMENT,"421 MARY STREET, SECTION B",LOCAL POLICE DEPARTMENT
1006923,BALDWIN CITY POLICE DEPARTMENT,811 8TH STREET,LOCAL POLICE DEPARTMENT
1007544,GEORGETOWN POLICE DEPARTMENT,550 BOURBON STREET,LOCAL POLICE DEPARTMENT
1007301,SENECA POLICE DEPARTMENT,212 NORTH 6TH STREET,LOCAL POLICE DEPARTMENT
1007070,HILL CITY POLICE DEPARTMENT,205 NORTH POMEROY AVENUE,LOCAL POLICE DEPARTMENT
1009817,OAKLAND COUNTY SHERIFFS OFFICE / OAKLAND COUNTY JAIL,"1200 NORTH TELEGRAPH ROAD, BUILDING 38E",SHERIFF'S OFFICE
1007841,WEST LIBERTY POLICE DEPARTMENT,561 MAIN STREET,LOCAL POLICE DEPARTMENT
1009376,CARO POLICE DEPARTMENT,150 MONTAGUE AVENUE,LOCAL POLICE DEPARTMENT
1007683,SHIVELY POLICE DEPARTMENT,1800 PARK ROAD,LOCAL POLICE DEPARTMENT
1009052,PRINCESS ANNE POLICE DEPARTMENT,11780 BECKFORD AVENUE,LOCAL POLICE DEPARTMENT
1007088,HUTCHINSON POLICE DEPARTMENT,210 WEST FIRST AVENUE,LOCAL POLICE DEPARTMENT
1005712,LINCOLN POLICE DEPARTMENT,911 PEKIN STREET,LOCAL POLICE DEPARTMENT
1005666,KANKAKEE COUNTY SHERIFF / KANKAKEE COUNTY JAIL,3000 SOUTH JUSTICE WAY,SHERIFF'S OFFICE
1006638,MILLERSBURG TOWN MARSHAL,201 WEST WASHINGTON STREET,CONSTABLE/MARSHAL
1007793,SADIEVILLE POLICE DEPARTMENT,131 JOHNSON ALLEY,LOCAL POLICE DEPARTMENT
1005895,RICHLAND COUNTY SHERIFFS OFFICE / RICHLAND COUNTY JAIL,211 WEST MARKET STREET,SHERIFF'S OFFICE
1006678,NEW HAVEN POLICE DEPARTMENT,815 LINCOLN HIGHWAY EAST,LOCAL POLICE DEPARTMENT
1007420,BELLEFONTE POLICE DEPARTMENT,705 BELLEFONTE PRINCESS ROAD,LOCAL POLICE DEPARTMENT
1009346,BLOOMFIELD HILLS DEPARTMENT OF PUBLIC SAFETY,45 EAST LONG LAKE ROAD,LOCAL POLICE DEPARTMENT
1007034,GARDNER DEPARTMENT OF PUBLIC SAFETY - STATION 1,440 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1006086,SPRING VALLEY POLICE DEPARTMENT,215 NORTH GREENWOOD STREET,LOCAL POLICE DEPARTMENT
1006502,HIGHLAND POLICE DEPARTMENT,3333 RIDGE ROAD,LOCAL POLICE DEPARTMENT
1006406,EAST CHICAGO POLICE DEPARTMENT,2301 EAST COLUMBUS DRIVE,LOCAL POLICE DEPARTMENT
1007846,LETCHER COUNTY SHERIFFS DEPARTMENT / LETCHER COUNTY JAIL,156 MAIN STREET,SHERIFF'S OFFICE
1006947,BURRTON POLICE DEPARTMENT,118 NORTH BURRTON AVENUE,LOCAL POLICE DEPARTMENT
1007795,SALYERSVILLE POLICE DEPARTMENT,317 EAST MAPLE STREET,LOCAL POLICE DEPARTMENT
1007210,NORTH NEWTON POLICE DEPARTMENT,2601 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1007306,SMITH CENTER POLICE DEPARTMENT,119 WEST COURT STREET,LOCAL POLICE DEPARTMENT
1008861,BALTIMORE CITY SHERIFFS DEPARTMENT,"100 NORTH CALVERT STREET, SUITE 104",SHERIFF'S OFFICE
1009048,CALVERT COUNTY SHERIFFS OFFICE,30 CHURCH STREET,SHERIFF'S OFFICE
1007305,SILVER LAKE POLICE DEPARTMENT,230 WEST RAILROAD STREET,LOCAL POLICE DEPARTMENT
1007092,INMAN POLICE DEPARTMENT,117 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1007711,BUTLER COUNTY SHERIFFS DEPARTMENT / BUTLER COUNTY JAIL,110 MAIN STREET,SHERIFF'S OFFICE
1007425,MARSHALL COUNTY SHERIFFS DEPARTMENT,52 JUDICIAL DRIVE,SHERIFF'S OFFICE
1006055,SHAWNEETOWN POLICE DEPARTMENT,303 NORTH LINCOLN BOULEVARD EAST,LOCAL POLICE DEPARTMENT
1007796,ELLIOTT COUNTY SHERIFFS OFFICE,100 MAIN STREET,SHERIFF'S OFFICE
1007010,ENTERPRISE POLICE DEPARTMENT,206 SOUTH FACTORY STREET,LOCAL POLICE DEPARTMENT
1009160,HANCOCK COUNTY SHERIFFS DEPARTMENT / HANCOCK COUNTY JAIL,"50 STATE STREET, SUITE 10",SHERIFF'S OFFICE
1009078,SEAT PLEASANT POLICE DEPARTMENT,6264 CENTRAL AVENUE,LOCAL POLICE DEPARTMENT
1006966,CLAFLIN POLICE DEPARTMENT,111 EAST HAMILTON STREET,LOCAL POLICE DEPARTMENT
1006909,ARGONIA POLICE DEPARTMENT,210 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1009102,UNIVERSITY PARK TOWN POLICE DEPARTMENT,6724 BALTIMORE AVENUE,LOCAL POLICE DEPARTMENT
1006226,WILSONVILLE POLICE DEPARTMENT,99 WILSON STREET,LOCAL POLICE DEPARTMENT
1007519,PENDLETON COUNTY SHERIFFS OFFICE,202 CHAPEL STREET,SHERIFF'S OFFICE
1006980,COLUMBUS POLICE DEPARTMENT,300 EAST MAPLE STREET,LOCAL POLICE DEPARTMENT
1008897,BERLIN POLICE DEPARTMENT,10 WILLIAMS STREET,LOCAL POLICE DEPARTMENT
1008970,FRUITLAND POLICE DEPARTMENT,401 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1006530,INDIANAPOLIS METROPOLITAN POLICE DEPARTMENT - HEADQUARTERS,50 NORTH ALABAMA STREET,LOCAL POLICE DEPARTMENT
